view,display_name,method,k,cluster_id,cluster_name,n,sm_hours_mean,sleep_hours_mean,screen_before_sleep_mean,physical_activity_mean,academic_performance_mean,social_interaction_score_mean,stress_mean,high_stress_pct,anxiety_mean,depression_pct
usage_intensity,Usage Intensity,PCA2+KMeans,3,0,Light / Rested Users,1417,2.704375441072689,7.283203952011291,1.6206774876499648,1.0230063514467183,3.2810726887791106,0.9992943,3.5003528581510235,0.12208892025405788,3.4431898376852503,0.0007057163020465773
usage_intensity,Usage Intensity,PCA2+KMeans,3,1,Heavy Daytime Social Media Users,1144,5.951048951048951,5.931555944055944,1.143444055944056,0.9972027972027971,2.7071416083916082,1.0043706,6.989510489510489,0.6206293706293706,6.649475524475524,0.2718531468531469
usage_intensity,Usage Intensity,PCA2+KMeans,3,2,Heavy Night Social Media Users,1139,5.223002633889377,5.368217734855135,2.4325724319578574,0.9713784021071116,2.694969271290606,0.9903424,6.646180860403863,0.5390693590869183,6.312554872695347,0.2660228270412643
lifestyle_health,Lifestyle Health,PCA2+KMeans,2,0,Healthy Lifestyle Users,1911,3.1936682365253795,7.012244897959183,1.6181057038199895,1.0690737833594977,3.316211407639979,0.98691785,3.857666143380429,0.14285714285714285,3.7221350078492934,0.0026164311878597592
lifestyle_health,Lifestyle Health,PCA2+KMeans,2,1,Lifestyle Risk Users,1789,5.861375069871436,5.48910005589715,1.8351593068753493,0.9244270542202347,2.5033761878144216,1.0100615,7.352711011738402,0.684181106763555,7.022358859698155,0.34097261039686977
social_behavior,Social Behavior,PCA2+KMeans,3,0,Socially Isolated Users,1252,4.458466453674121,6.273242811501598,1.7281150159744407,0.9709265175718849,2.9245766773162942,0.027955271,5.52555910543131,0.3977635782747604,5.34185303514377,0.15575079872204473
social_behavior,Social Behavior,PCA2+KMeans,3,1,Low Activity Moderate Social Users,1289,5.73211792086889,5.935764158262218,1.7277734678044996,0.7039565554693561,2.6860279286268427,1.5081458,7.0108611326609775,0.6190845616757176,6.677269200930954,0.30178432893716056
social_behavior,Social Behavior,PCA2+KMeans,3,2,Moderately Social Users,1159,3.1220017256255392,6.656686798964625,1.7123382226056945,1.3578947368421053,3.1854702329594478,1.4788611,3.9439171699741156,0.1734253666954271,3.7799827437446076,0.026747195858498704
stress_pattern,Stress Pattern,PCA2+KMeans,2,0,Low Stress Users,1884,3.1016985138004247,6.949363057324841,1.6873142250530786,1.0402335456475584,3.227569002123142,0.99416137,3.435244161358811,0.07059447983014862,3.2876857749469215,0.0005307855626326964
stress_pattern,Stress Pattern,PCA2+KMeans,2,1,High Stress Users,1816,5.917125550660793,5.576982378854625,1.7601321585903085,0.9564977973568282,2.6074229074889868,1.0022026,7.738986784140969,0.751101321585903,7.424008810572687,0.3381057268722467
